id,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests
42100,3,0,1,4,0,0,1,111,2018,12,5,1,0,0,0,115.6,2
42101,2,0,0,3,0,0,0,22,2017,10,21,0,0,0,0,85.0,0
42102,2,2,0,1,0,0,3,18,2018,8,10,1,0,0,0,240.0,1
42103,2,0,0,3,0,0,0,88,2018,5,30,0,0,0,0,80.75,0
42104,1,0,0,2,2,0,0,7,2018,9,21,1,0,0,0,144.0,0
42105,2,0,0,2,0,0,0,187,2018,8,19,1,0,0,0,105.3,2
42106,3,0,1,3,0,0,1,119,2018,9,7,1,0,0,0,151.2,1
42107,2,0,1,3,0,0,0,273,2018,5,13,0,0,0,0,95.0,0
42108,1,0,0,2,0,0,0,12,2018,3,14,2,1,0,12,65.0,1
42109,1,0,2,3,0,0,0,66,2018,3,6,1,0,0,0,73.95,0
42110,1,0,0,2,0,0,0,103,2018,4,15,1,0,0,0,115.0,0
42111,2,0,2,1,0,0,0,129,2018,10,13,0,0,0,0,80.75,0
42112,1,0,1,2,1,0,0,60,2018,9,26,1,0,0,0,123.98,1
42113,3,0,2,2,0,0,1,24,2018,2,13,1,0,0,0,130.0,1
42114,2,0,0,2,0,0,1,39,2018,8,10,1,0,0,0,161.1,1
42115,2,0,1,3,0,0,0,250,2018,12,26,1,0,0,0,84.15,0
42116,2,0,1,5,0,0,0,24,2018,1,15,0,0,0,0,48.33,0
42117,2,0,0,4,0,0,1,110,2018,9,20,0,0,0,0,112.88,0
42118,2,0,0,3,0,0,0,160,2018,8,18,1,0,0,0,114.3,0
42119,2,0,0,6,0,0,0,153,2018,6,7,1,0,0,0,111.78,0
42120,2,0,0,2,0,0,1,179,2018,7,31,1,0,0,0,127.8,0
42121,2,0,2,2,0,0,0,112,2017,12,26,1,0,0,0,52.85,1
42122,2,0,0,2,0,0,0,35,2017,9,16,1,0,0,0,200.0,3
42123,2,0,1,2,0,0,0,151,2018,8,30,1,0,0,0,109.8,1
42124,2,0,0,4,1,0,0,160,2018,10,25,1,0,0,0,80.1,0
42125,1,0,0,2,0,0,0,1,2018,3,5,2,1,0,1,65.0,0
42126,1,0,2,0,0,0,0,3,2018,9,26,2,1,4,46,65.0,0
42127,2,0,2,1,0,0,0,57,2018,3,26,0,0,0,0,54.98,2
42128,1,0,0,4,0,0,1,77,2018,6,22,3,0,0,0,110.0,0
42129,2,0,0,2,2,0,0,265,2018,12,9,1,0,0,0,128.0,1
42130,2,0,0,3,0,0,0,214,2018,8,6,1,0,0,0,90.9,0
42131,1,0,2,0,2,0,0,386,2018,10,23,0,0,0,0,90.0,1
42132,2,0,1,0,2,0,0,102,2017,10,16,0,0,0,0,72.0,0
42133,2,0,0,3,0,0,0,249,2018,9,7,1,0,0,0,126.9,0
42134,2,0,1,2,0,0,0,281,2018,12,26,1,0,0,0,68.07,1
42135,1,0,2,2,0,0,0,8,2018,3,5,2,1,0,24,65.0,1
42136,2,1,0,3,0,0,0,3,2018,3,31,1,0,0,0,145.0,2
42137,1,0,1,3,0,0,0,118,2018,9,6,0,0,0,0,110.0,0
42138,2,2,2,3,0,0,3,213,2018,7,8,1,0,0,0,158.95,2
42139,2,0,2,1,0,0,0,180,2018,7,23,1,0,0,0,96.3,0
42140,2,0,0,1,0,0,0,19,2018,6,22,2,1,1,0,100.0,0
42141,2,0,1,1,2,0,0,24,2018,6,6,0,0,0,0,115.0,0
42142,2,0,2,2,2,0,0,150,2018,1,16,1,0,0,0,101.0,0
42143,2,0,1,3,0,0,1,240,2018,10,27,1,0,0,0,90.95,0
42144,1,0,0,3,2,0,0,36,2018,10,13,0,0,0,0,102.0,0
42145,2,0,0,2,0,0,0,99,2018,9,2,1,0,0,0,135.9,0
42146,2,0,0,2,0,0,0,28,2017,9,30,0,0,0,0,108.0,0
42147,3,0,2,5,0,0,1,141,2018,8,22,1,0,0,0,137.34,0
42148,2,0,1,2,2,0,1,19,2018,2,26,1,0,0,0,130.0,0
42149,2,0,1,4,0,0,2,161,2018,12,26,1,0,0,0,97.75,1
42150,2,0,1,0,0,0,0,91,2018,10,11,0,0,0,0,80.0,0
42151,3,0,0,1,0,0,1,38,2018,5,10,1,0,0,0,159.3,0
42152,3,0,0,4,0,0,1,113,2018,7,12,1,0,0,0,121.21,0
42153,2,0,2,0,0,0,1,77,2018,10,2,1,0,0,0,132.3,2
42154,2,0,0,3,0,0,0,181,2018,10,28,1,0,0,0,90.9,1
42155,2,0,0,2,2,0,0,210,2017,10,8,0,0,0,0,86.0,0
42156,1,0,2,2,2,0,0,327,2017,9,9,0,0,0,0,90.0,0
42157,2,0,2,5,0,0,0,102,2018,5,9,1,0,0,0,119.85,3
42158,3,0,1,2,0,0,1,57,2018,10,16,1,0,0,0,158.4,1
42159,2,0,0,4,0,0,1,112,2018,5,14,1,0,0,0,132.6,0
42160,2,0,0,3,0,0,0,271,2018,9,22,1,0,0,0,87.3,1
42161,1,0,0,2,0,0,0,2,2018,11,30,4,1,0,6,0.0,1
42162,2,1,0,1,2,0,0,15,2018,6,15,1,0,0,0,129.0,2
42163,1,0,0,2,0,0,0,2,2018,11,18,0,0,0,0,75.0,0
42164,2,2,2,2,0,0,3,194,2018,12,24,1,0,0,0,124.25,0
42165,2,0,2,5,0,0,0,178,2018,8,22,1,0,0,0,99.45,2
42166,3,0,0,3,0,0,1,53,2018,7,27,1,0,0,0,177.3,0
42167,1,0,0,1,0,1,0,0,2018,7,6,2,1,2,6,67.0,0
42168,3,0,0,4,0,0,1,31,2018,5,31,1,0,0,0,152.81,0
42169,2,0,2,1,0,0,0,159,2018,9,3,1,0,0,0,126.9,2
42170,3,0,2,2,0,0,1,40,2018,12,4,1,0,0,0,130.9,2
42171,2,0,2,4,0,1,0,94,2017,7,15,1,0,0,0,89.25,1
42172,2,0,0,3,1,0,0,122,2018,6,8,1,0,0,0,109.0,1
42173,2,2,1,3,0,0,3,21,2018,9,19,1,0,0,0,234.0,0
42174,2,0,0,3,0,0,0,71,2017,9,22,0,0,0,0,127.0,0
42175,2,0,2,0,1,0,0,18,2018,10,30,0,0,0,0,115.0,0
42176,2,1,0,4,0,0,1,149,2018,8,3,1,0,0,0,139.95,0
42177,3,0,0,3,0,0,1,12,2018,2,29,1,0,0,0,130.0,1
42178,1,0,1,2,0,0,1,39,2017,11,4,1,0,0,0,81.9,2
42179,2,0,1,2,0,0,0,155,2018,8,13,1,0,0,0,114.3,0
42180,1,2,0,1,0,0,1,14,2018,7,23,1,0,0,0,186.0,0
42181,2,0,0,2,0,0,0,187,2018,7,19,1,0,0,0,105.3,2
42182,2,0,2,5,1,0,0,184,2018,8,17,1,0,0,0,118.0,1
42183,2,0,2,1,0,0,0,256,2017,9,15,1,0,0,0,94.5,2
42184,2,0,1,2,0,0,0,87,2018,12,11,0,0,0,0,75.0,0
42185,1,0,1,2,0,0,0,0,2018,6,10,0,0,0,0,120.0,0
42186,2,0,1,2,0,0,0,77,2018,3,19,0,0,0,0,75.0,0
42187,1,0,2,4,0,0,0,69,2018,6,12,0,0,0,0,95.0,0
42188,2,0,2,3,0,0,1,53,2017,11,12,0,0,0,0,60.0,0
42189,2,0,2,3,0,0,0,41,2018,10,27,0,0,0,0,85.0,0
42190,2,0,1,2,0,0,0,121,2018,6,24,1,0,0,0,90.0,1
42191,2,1,2,6,0,0,0,132,2018,8,9,1,0,0,0,135.0,2
42192,2,0,1,1,0,0,0,105,2018,4,18,0,0,0,0,75.0,0
42193,3,0,2,2,0,0,1,141,2018,7,10,1,0,0,0,137.7,2
42194,3,0,2,5,0,0,1,65,2018,4,14,1,0,0,0,149.4,1
42195,3,0,1,4,0,0,1,168,2018,7,6,1,0,0,0,130.05,0
42196,2,0,0,3,0,0,1,130,2018,7,29,1,0,0,0,139.5,0
42197,2,0,1,4,0,0,1,88,2018,3,4,1,0,0,0,82.45,0
42198,2,0,1,3,2,0,1,35,2018,9,5,1,0,0,0,123.82,0
42199,2,0,2,5,1,0,0,155,2018,7,7,1,0,0,0,103.5,1
42200,2,0,1,1,1,0,0,131,2018,10,16,1,0,0,0,108.0,1
42201,2,0,2,5,0,0,0,147,2018,4,1,1,0,0,0,90.95,0
42202,2,0,1,2,0,0,0,107,2018,6,7,0,0,0,0,130.0,0
42203,1,0,1,2,0,0,4,4,2018,8,22,2,0,0,0,106.0,0
42204,2,0,1,0,2,0,0,75,2018,10,30,1,0,0,0,105.0,0
42205,2,0,0,1,0,0,0,27,2018,6,11,0,0,0,0,105.0,0
42206,2,0,1,2,0,0,2,47,2017,10,19,0,0,0,0,72.36,1
42207,2,0,2,0,0,0,0,130,2018,4,24,1,0,0,0,100.8,0
42208,1,0,0,3,0,0,0,55,2017,12,31,2,0,0,0,85.67,1
42209,2,0,1,2,0,0,0,124,2018,3,30,1,0,0,0,114.3,1
42210,2,0,2,5,0,0,1,134,2018,8,10,1,0,0,0,113.62,2
42211,2,0,1,1,0,0,0,95,2018,5,6,0,0,0,0,80.75,0
42212,2,0,0,2,0,0,1,78,2018,5,3,1,0,0,0,140.4,1
42213,2,0,2,3,0,0,1,123,2018,10,1,1,0,0,0,125.55,0
42214,1,0,5,11,0,0,0,66,2018,9,12,1,0,0,0,85.38,0
42215,2,0,0,2,1,0,0,145,2018,6,30,1,0,0,0,94.5,1
42216,2,0,0,2,0,0,0,166,2018,10,19,1,0,0,0,118.8,2
42217,2,0,0,3,0,0,0,85,2018,10,29,0,0,0,0,85.0,0
42218,1,0,1,2,0,0,0,3,2018,12,16,0,0,0,0,75.0,0
42219,3,0,0,2,0,0,1,30,2018,11,6,1,0,0,0,142.78,1
42220,2,0,2,0,0,0,2,131,2018,7,24,1,0,0,0,105.5,1
42221,2,0,2,3,0,0,0,256,2018,10,2,1,0,0,0,100.75,1
42222,2,0,0,3,0,0,0,229,2018,10,27,1,0,0,0,70.44,1
42223,2,0,0,2,0,0,0,3,2018,6,7,0,0,0,0,130.0,0
42224,2,0,0,5,0,0,1,185,2018,8,6,1,0,0,0,114.75,0
42225,2,0,1,2,0,0,0,127,2018,6,27,1,0,0,0,96.3,0
42226,2,0,1,5,0,0,1,128,2018,10,18,1,0,0,0,132.3,0
